Rank,Term representative,Score,Frequency
58,"all-trans retinoic acid",5.4931,6
58,"CD28RE",5.4931,5
59,"t-cell lines",4.8520,8
59,"il-2 production",4.8520,8
59,"cell surface",4.8520,8
60,"CAT",4.7134,8
60,"lytic cycle",4.7134,8
61,"promoter activity",4.5748,8
62,"kappa b enhancer",4.3944,4
62,"cepsilon germline transcripts",4.3944,5
62,"b transcription factors",4.3944,5
62,"erythroid-specific gene expression",4.3944,4
62,"monocytic thp-1 cells",4.3944,5
62,"IHES",4.3944,4
63,"activation of genes",4.1589,7
63,"tcf-1 alpha binding site",4.1589,3
63,"differentiated cells",4.1589,7
63,"globin promoter",4.1589,7
63,"il-2 receptor",4.1589,7
63,"family proteins",4.1589,7
63,"transcription factor nf-kappab",4.1589,4
63,"cell responses",4.1589,7
63,"hiv type",4.1589,5
63,"coproporphyrinogen oxidase",4.1589,7
64,"tnf-alpha production",4.0236,4
65,"inhibitor protein",3.9856,7
65,"epithelial cells",3.9856,7
66,"gene in t cells",3.9278,7
67,"nf-kappab dna",3.8451,5
68,"tnf mrna accumulation",3.5835,3
69,"u937 cells",3.4657,6
69,"cushing 's disease",3.4657,6
69,"nuclear translocation",3.4657,6
69,"cell receptor",3.4657,6
69,"surface expression",3.4657,6
69,"thp-1 cells",3.4657,6
69,"il-1 beta",3.4657,6
69,"cell adhesion",3.4657,6
69,"stat proteins",3.4657,6
69,"p elements",3.4657,6
69,"cytokine genes",3.4657,6
69,"nuclear proteins",3.4657,6
69,"induction of expression",3.4657,6
69,"il-2 promoter",3.4657,6
69,"p-like elements",3.4657,5
69,"immune system",3.4657,6
69,"cell functions",3.4657,6
69,"lps-induced activity",3.4657,7
69,"PGE2",3.4657,6
69,"gene induction",3.4657,6
69,"murine t cells",3.4657,6
70,"tcr alpha enhancer",3.2958,4
70,"polymerase chain reaction",3.2958,3
70,"kappa b-like site",3.2958,4
70,"tf gene",3.2958,4
70,"tf site",3.2958,4
70,"syk tyrosine kinase",3.2958,3
70,"gamma response region",3.2958,4
70,"acute promyelocytic leukemia",3.2958,4
70,"ifn-gamma production",3.2958,4
70,"il-1beta promoter activity",3.2958,3
70,"erythroid cell survival",3.2958,3
70,"bronchial epithelial cells",3.2958,4
70,"serine phosphorylation of stat3",3.2958,3
70,"human monocytic cells",3.2958,4
71,"transient expression",3.2924,6
72,"hiv-1 replication",3.2347,6
72,"il-9 gene",3.2347,6
73,"cbf alpha subunit",3.2189,3
74,"tcf-1 alpha",3.0036,6
74,"blood cells",3.0036,6
75,"phorbol ester",2.7726,4
75,"cell types",2.7726,5
75,"AD",2.7726,5
75,"enhanced activity",2.7726,5
75,"immune response",2.7726,5
75,"nuclear compartment",2.7726,5
75,"rel proteins",2.7726,4
75,"nonerythroid cells",2.7726,5
75,"human peripheral blood monocytes",2.7726,3
75,"monocytic thp-1 cell line",2.7726,3
75,"nuclear complex",2.7726,5
75,"alpha b",2.7726,5
75,"inhibitory effect",2.7726,5
75,"expression of il-2",2.7726,5
75,"myeloid cells",2.7726,5
75,"embryonic-fetal liver",2.7726,5
75,"activation in t lymphocytes",2.7726,5
75,"family members",2.7726,5
75,"human leukemias",2.7726,5
75,"plc gamma",2.7726,4
75,"PDTC",2.7726,5
75,"binding proteins",2.7726,5
75,"lps-induced nf-kappab dna",2.7726,3
75,"neutrophil maturation",2.7726,5
76,"cat reporter",2.7465,4
77,"reporter gene",2.5415,5
78,"beta interferon promoter",2.1972,3
78,"human mononuclear cells",2.1972,3
78,"androgen receptor gene",2.1972,3
78,"ap-1 transcription factor",2.1972,3
78,"phospholipase c gamma",2.1972,3
78,"ebv sm",2.1972,3
78,"dna binding specificities",2.1972,3
78,"50-kda nf-kappa b",2.1972,3
78,"regulation of gene expression",2.1972,3
78,"rna polymerase ii",2.1972,3
78,"expression of cd40 antigen",2.1972,3
78,"patients with hepatitis b",2.1972,3
78,"hematopoietic growth factor",2.1972,3
78,"kappa light chain",2.1972,3
78,"activation of human t cells",2.1972,3
78,"nf-kappab inhibitors",2.1972,3
78,"gata-1 and-binding proteins",2.1972,3
78,"fetal blood cells",2.1972,4
78,"dna binding motif",2.1972,3
78,"cord blood lymphocytes",2.1972,3
78,"erythroid cell development",2.1972,3
78,"lytic cycle genes",2.1972,3
78,"FISH",2.1972,3
78,"protein kinase inhibition",2.1972,3
78,"gr in lymphocytes",2.1972,3
78,"normal human monocytes",2.1972,3
79,"normal cells",2.0794,4
79,"viral production",2.0794,4
79,"receptor alpha chain",2.0794,3
79,"activity of dna",2.0794,4
79,"globin gene",2.0794,4
79,"site-directed mutagenesis",2.0794,3
79,"cellular proliferation",2.0794,3
79,"primary cells",2.0794,4
79,"c-fos expression",2.0794,4
79,"ltr activation",2.0794,4
79,"monocyte adhesion",2.0794,4
79,"transcription in t cells",2.0794,4
79,"immediate-early genes",2.0794,4
79,"lps stimulation",2.0794,3
79,"lps response",2.0794,4
79,"physical linkage",2.0794,3
79,"il-4 promoter",2.0794,4
79,"histone deacetylase",2.0794,4
79,"cell cultures",2.0794,4
79,"activation of ap-1",2.0794,4
79,"activation of nf-at",2.0794,4
79,"cytokine production",2.0794,3
79,"il-4 receptor",2.0794,3
79,"94-kd stat5a",2.0794,3
79,"transient transfection",2.0794,4
79,"cd40 antigen",2.0794,4
79,"inflammatory response",2.0794,4
79,"il-4ralpha chain",2.0794,3
79,"amino acids",2.0794,4
79,"nf-kappa b1",2.0794,4
79,"tolerant cells",2.0794,4
79,"lai ltr",2.0794,3
79,"dose-dependent manner",2.0794,3
79,"environmental estrogens",2.0794,4
79,"clonal eosinophilia",2.0794,4
79,"sodium salicylate",2.0794,3
79,"SE",2.0794,4
79,"stat3 activation",2.0794,4
79,"monocyte apoptosis",2.0794,4
79,"induction of apoptosis",2.0794,3
80,"zinc fingers",1.7329,4
80,"situ hybridization",1.7329,4
80,"cell development",1.7329,4
80,"il-13 gene",1.7329,4
81,"icam-1 kappa b",1.6094,3
82,"cell population",1.3863,3
82,"mononuclear leukocytes",1.3863,3
82,"hela cells",1.3863,3
82,"alpha activity",1.3863,3
82,"hl60 cells",1.3863,3
82,"hypertensive patients",1.3863,3
82,"k562 cells",1.3863,3
82,"cell proliferation",1.3863,3
82,"transient pseudohypoaldosteronism",1.3863,3
82,"aldosterone receptors",1.3863,3
82,"p50 homodimer",1.3863,3
82,"complex in response",1.3863,3
82,"sm protein",1.3863,3
82,"pebp2 alpha",1.3863,3
82,"dna binding subunit",1.3863,3
82,"induction of vcam-1",1.3863,3
82,"tyrosine kinase inhibitors genistein",1.3863,3
82,"steroid hormone",1.3863,3
82,"24,25-dihydroxyvitamin d3",1.3863,3
82,"unprimed cells",1.3863,3
82,"il-4 gene",1.3863,3
82,"tax protein",1.3863,3
82,"potent activator",1.3863,3
82,"human interleukin",1.3863,3
82,"inducible expression",1.3863,3
82,"ap-1 site",1.3863,3
82,"janus kinase",1.3863,3
82,"molecular weight",1.3863,3
82,"hiv-1 ltr",1.3863,3
82,"supershift assay",1.3863,3
82,"naive th cells",1.3863,3
82,"human thymocytes",1.3863,3
82,"saa gene",1.3863,3
82,"hydrolytic activity",1.3863,3
82,"erythroid differentiation",1.3863,3
82,"anti-cd3 stimulation",1.3863,3
82,"bind with higher affinity",1.3863,3
82,"lps tolerance",1.3863,3
82,"ltr sequence",1.3863,3
82,"expression of certain transcription",1.3863,3
82,"dna sequences",1.3863,3
82,"agonist activity",1.3863,3
82,"plasma membrane",1.3863,3
82,"x-inactivation patterns",1.3863,3
82,"dendritic cell",1.3863,3
82,"cox-2 expression",1.3863,3
82,"steroid treatments",1.3863,3
82,"mo7e cells",1.3863,3
82,"superoxide release",1.3863,3
82,"beas-2b cells",1.3863,3
82,"microbial lipoproteins",1.3863,3
82,"TLRs",1.3863,3
83,"heterodimer complex formation",1.0986,3
83,"human endothelial cells",1.0986,3
83,"respiratory distress syndrome",1.0986,5
84,"cytokine profiles",0.6931,3
84,"natl. acad",0.6931,3
84,"il-1beta promoter",0.6931,4
84,"hypereosinophilic syndrome",0.6931,5
84,"cell survival",0.6931,4
84,"cd3 ligation",0.6931,3
